Country,Year,Medal,Count
AFG,2008,Bronze,1
AFG,2012,Bronze,1
AHO,1988,Silver,1
ALG,1984,Bronze,2
ALG,1992,Bronze,1
ALG,1992,Gold,1
ALG,1996,Bronze,1
ALG,1996,Gold,2
ALG,2000,Bronze,3
ALG,2000,Gold,1
ALG,2000,Silver,1
ALG,2008,Bronze,1
ALG,2008,Silver,1
ALG,2012,Gold,1
ANZ,1908,Bronze,2
ANZ,1908,Gold,15
ANZ,1908,Silver,2
ANZ,1912,Bronze,3
ANZ,1912,Gold,5
ANZ,1912,Silver,2
ARG,1924,Bronze,2
ARG,1924,Gold,6
ARG,1924,Silver,3
ARG,1928,Bronze,5
ARG,1928,Gold,3
ARG,1928,Silver,24
ARG,1932,Gold,3
ARG,1932,Silver,1
ARG,1936,Bronze,4
ARG,1936,Gold,5
ARG,1936,Silver,2
ARG,1948,Bronze,1
ARG,1948,Gold,3
ARG,1948,Silver,8
ARG,1952,Bronze,2
ARG,1952,Gold,2
ARG,1952,Silver,2
ARG,1956,Bronze,1
ARG,1956,Silver,1
ARG,1960,Bronze,1
ARG,1960,Silver,3
ARG,1964,Silver,1
ARG,1968,Bronze,2
ARG,1972,Silver,1
ARG,1988,Bronze,12
ARG,1988,Silver,1
ARG,1992,Bronze,2
ARG,1996,Bronze,1
ARG,1996,Silver,19
ARG,2000,Bronze,3
ARG,2000,Silver,17
ARG,2004,Bronze,21
ARG,2004,Gold,26
ARG,2008,Bronze,31
ARG,2008,Gold,20
ARG,2012,Bronze,3
ARG,2012,Gold,1
ARG,2012,Silver,16
ARM,1996,Gold,1
ARM,1996,Silver,1
ARM,2000,Bronze,1
ARM,2008,Bronze,6
ARM,2012,Bronze,1
ARM,2012,Silver,1
AUS,1896,Gold,2
AUS,1900,Bronze,3
AUS,1900,Gold,2
AUS,1920,Bronze,1
AUS,1920,Silver,5
AUS,1924,Bronze,2
AUS,1924,Gold,3
AUS,1924,Silver,5
AUS,1928,Bronze,1
AUS,1928,Gold,1
AUS,1928,Silver,2
AUS,1932,Bronze,1
AUS,1932,Gold,3
AUS,1932,Silver,1
AUS,1936,Bronze,1
AUS,1948,Bronze,5
AUS,1948,Gold,2
AUS,1948,Silver,9
AUS,1952,Bronze,11
AUS,1952,Gold,7
AUS,1952,Silver,2
AUS,1956,Bronze,26
AUS,1956,Gold,23
AUS,1956,Silver,12
AUS,1960,Bronze,9
AUS,1960,Gold,10
AUS,1960,Silver,17
AUS,1964,Bronze,29
AUS,1964,Gold,8
AUS,1964,Silver,5
AUS,1968,Bronze,10
AUS,1968,Gold,5
AUS,1968,Silver,34
AUS,1972,Bronze,2
AUS,1972,Gold,11
AUS,1972,Silver,7
AUS,1976,Bronze,8
AUS,1976,Silver,16
AUS,1980,Bronze,5
AUS,1980,Gold,5
AUS,1980,Silver,2
AUS,1984,Bronze,29
AUS,1984,Gold,7
AUS,1984,Silver,14
AUS,1988,Bronze,10
AUS,1988,Gold,18
AUS,1988,Silver,6
AUS,1992,Bronze,16
AUS,1992,Gold,14
AUS,1992,Silver,27
AUS,1996,Bronze,84
AUS,1996,Gold,32
AUS,1996,Silver,16
AUS,2000,Bronze,54
AUS,2000,Gold,60
AUS,2000,Silver,69
AUS,2004,Bronze,30
AUS,2004,Gold,49
AUS,2004,Silver,78
AUS,2008,Bronze,76
AUS,2008,Gold,31
AUS,2008,Silver,42
AUS,2012,Bronze,59
AUS,2012,Gold,19
AUS,2012,Silver,36
AUT,1896,Bronze,2
AUT,1896,Gold,2
AUT,1896,Silver,1
AUT,1900,Bronze,3
AUT,1900,Silver,3
AUT,1904,Bronze,1
AUT,1908,Bronze,1
AUT,1912,Bronze,5
AUT,1912,Silver,9
AUT,1924,Bronze,1
AUT,1924,Silver,3
AUT,1928,Bronze,2
AUT,1928,Gold,2
AUT,1932,Bronze,3
AUT,1932,Gold,1
AUT,1932,Silver,1
AUT,1936,Bronze,4
AUT,1936,Gold,5
AUT,1936,Silver,41
AUT,1948,Bronze,3
AUT,1948,Gold,1
AUT,1952,Bronze,2
AUT,1952,Silver,1
AUT,1956,Bronze,4
AUT,1960,Gold,1
AUT,1960,Silver,2
AUT,1968,Bronze,3
AUT,1968,Silver,2
AUT,1972,Bronze,2
AUT,1972,Silver,1
AUT,1976,Bronze,1
AUT,1980,Bronze,1
AUT,1980,Gold,1
AUT,1980,Silver,3
AUT,1984,Bronze,1
AUT,1984,Gold,1
AUT,1984,Silver,1
AUT,1988,Gold,1
AUT,1992,Silver,6
AUT,1996,Bronze,2
AUT,1996,Silver,1
AUT,2000,Gold,3
AUT,2000,Silver,1
AUT,2004,Bronze,1
AUT,2004,Gold,3
AUT,2004,Silver,4
AUT,2008,Bronze,2
AUT,2008,Silver,1
AZE,1996,Silver,1
AZE,2000,Bronze,1
AZE,2000,Gold,2
AZE,2004,Bronze,4
AZE,2004,Gold,1
AZE,2008,Bronze,4
AZE,2008,Gold,1
AZE,2008,Silver,2
AZE,2012,Bronze,6
AZE,2012,Gold,2
AZE,2012,Silver,2
BAH,1956,Bronze,2
BAH,1964,Gold,2
BAH,1992,Bronze,1
BAH,1996,Silver,5
BAH,2000,Gold,6
BAH,2004,Bronze,1
BAH,2004,Gold,1
BAH,2008,Bronze,1
BAH,2008,Silver,4
BAH,2012,Gold,4
BAR,2000,Bronze,1
BDI,1996,Gold,1
BEL,1900,Bronze,15
BEL,1900,Gold,5
BEL,1900,Silver,19
BEL,1908,Bronze,6
BEL,1908,Gold,1
BEL,1908,Silver,24
BEL,1912,Bronze,9
BEL,1912,Gold,9
BEL,1912,Silver,1
BEL,1920,Bronze,65
BEL,1920,Gold,57
BEL,1920,Silver,66
BEL,1924,Bronze,6
BEL,1924,Gold,3
BEL,1924,Silver,29
BEL,1928,Bronze,4
BEL,1928,Silver,1
BEL,1936,Bronze,12
BEL,1948,Bronze,8
BEL,1948,Gold,4
BEL,1948,Silver,2
BEL,1952,Gold,4
BEL,1952,Silver,3
BEL,1956,Silver,2
BEL,1960,Bronze,2
BEL,1960,Silver,2
BEL,1964,Bronze,1
BEL,1964,Gold,2
BEL,1968,Bronze,2
BEL,1968,Silver,1
BEL,1972,Silver,2
BEL,1976,Bronze,6
BEL,1976,Silver,3
BEL,1980,Gold,1
BEL,1984,Bronze,2
BEL,1984,Gold,1
BEL,1984,Silver,2
BEL,1988,Bronze,2
BEL,1992,Bronze,2
BEL,1992,Silver,1
BEL,1996,Bronze,2
BEL,1996,Gold,2
BEL,1996,Silver,2
BEL,2000,Bronze,4
BEL,2000,Silver,3
BEL,2004,Bronze,2
BEL,2004,Gold,1
BEL,2008,Gold,1
BEL,2008,Silver,4
BEL,2012,Bronze,2
BEL,2012,Silver,1
BER,1976,Bronze,1
BLR,1996,Bronze,16
BLR,1996,Gold,1
BLR,1996,Silver,6
BLR,2000,Bronze,11
BLR,2000,Gold,3
BLR,2000,Silver,8
BLR,2004,Bronze,9
BLR,2004,Gold,2
BLR,2004,Silver,6
BLR,2008,Bronze,17
BLR,2008,Gold,8
BLR,2008,Silver,5
BLR,2012,Bronze,6
BLR,2012,Gold,3
BLR,2012,Silver,12
BOH,1900,Bronze,1
BOH,1900,Silver,1
BOH,1908,Bronze,5
BOT,2012,Silver,1
BRA,1920,Bronze,5
BRA,1920,Gold,1
BRA,1920,Silver,1
BRA,1948,Bronze,12
BRA,1952,Bronze,2
BRA,1952,Gold,1
BRA,1956,Gold,1
BRA,1960,Bronze,13
BRA,1964,Bronze,12
BRA,1968,Bronze,3
BRA,1968,Silver,1
BRA,1972,Bronze,2
BRA,1976,Bronze,3
BRA,1980,Bronze,5
BRA,1980,Gold,4
BRA,1984,Bronze,2
BRA,1984,Gold,1
BRA,1984,Silver,34
BRA,1988,Bronze,5
BRA,1988,Gold,1
BRA,1988,Silver,22
BRA,1992,Gold,13
BRA,1992,Silver,1
BRA,1996,Bronze,44
BRA,1996,Gold,5
BRA,1996,Silver,15
BRA,2000,Bronze,36
BRA,2000,Silver,12
BRA,2004,Bronze,3
BRA,2004,Gold,18
BRA,2004,Silver,19
BRA,2008,Bronze,27
BRA,2008,Gold,14
BRA,2008,Silver,34
BRA,2012,Bronze,11
BRA,2012,Gold,14
BRA,2012,Silver,34
BRN,2012,Bronze,1
BUL,1952,Bronze,1
BUL,1956,Bronze,14
BUL,1956,Gold,1
BUL,1956,Silver,3
BUL,1960,Bronze,3
BUL,1960,Gold,1
BUL,1960,Silver,3
BUL,1964,Bronze,2
BUL,1964,Gold,3
BUL,1964,Silver,5
BUL,1968,Bronze,3
BUL,1968,Gold,2
BUL,1968,Silver,21
BUL,1972,Bronze,6
BUL,1972,Gold,6
BUL,1972,Silver,10
BUL,1976,Bronze,18
BUL,1976,Gold,8
BUL,1976,Silver,13
BUL,1980,Bronze,40
BUL,1980,Gold,8
BUL,1980,Silver,46
BUL,1988,Bronze,17
BUL,1988,Gold,10
BUL,1988,Silver,14
BUL,1992,Bronze,7
BUL,1992,Gold,3
BUL,1992,Silver,7
BUL,1996,Bronze,6
BUL,1996,Gold,3
BUL,1996,Silver,12
BUL,2000,Bronze,2
BUL,2000,Gold,5
BUL,2000,Silver,6
BUL,2004,Bronze,14
BUL,2004,Gold,2
BUL,2004,Silver,1
BUL,2008,Bronze,3
BUL,2008,Gold,1
BUL,2008,Silver,1
BUL,2012,Bronze,1
BUL,2012,Silver,1
BWI,1960,Bronze,5
CAN,1900,Bronze,1
CAN,1900,Gold,1
CAN,1904,Gold,26
CAN,1904,Silver,9
CAN,1908,Bronze,26
CAN,1908,Gold,17
CAN,1908,Silver,8
CAN,1912,Bronze,3
CAN,1912,Gold,3
CAN,1912,Silver,2
CAN,1920,Bronze,3
CAN,1920,Gold,10
CAN,1920,Silver,3
CAN,1924,Bronze,1
CAN,1924,Silver,19
CAN,1928,Bronze,21
CAN,1928,Gold,7
CAN,1928,Silver,5
CAN,1932,Bronze,23
CAN,1932,Gold,2
CAN,1932,Silver,13
CAN,1936,Bronze,9
CAN,1936,Gold,1
CAN,1936,Silver,12
CAN,1948,Bronze,5
CAN,1948,Silver,1
CAN,1952,Gold,1
CAN,1952,Silver,3
CAN,1956,Bronze,5
CAN,1956,Gold,5
CAN,1956,Silver,9
CAN,1960,Silver,9
CAN,1964,Bronze,1
CAN,1964,Gold,2
CAN,1964,Silver,2
CAN,1968,Bronze,4
CAN,1968,Gold,3
CAN,1968,Silver,3
CAN,1972,Bronze,8
CAN,1972,Silver,2
CAN,1976,Bronze,12
CAN,1976,Silver,8
CAN,1984,Bronze,32
CAN,1984,Gold,19
CAN,1984,Silver,35
CAN,1988,Bronze,12
CAN,1988,Gold,4
CAN,1988,Silver,5
CAN,1992,Bronze,12
CAN,1992,Gold,27
CAN,1992,Silver,5
CAN,1996,Bronze,12
CAN,1996,Gold,8
CAN,1996,Silver,31
CAN,2000,Bronze,23
CAN,2000,Gold,4
CAN,2000,Silver,4
CAN,2004,Bronze,4
CAN,2004,Gold,3
CAN,2004,Silver,10
CAN,2008,Bronze,10
CAN,2008,Gold,11
CAN,2008,Silver,13
CAN,2012,Bronze,35
CAN,2012,Gold,1
CAN,2012,Silver,21
CHI,1928,Silver,1
CHI,1952,Silver,4
CHI,1956,Bronze,2
CHI,1956,Silver,2
CHI,1988,Silver,1
CHI,2000,Bronze,18
CHI,2004,Bronze,1
CHI,2004,Gold,3
CHI,2008,Silver,1
CHN,1984,Bronze,37
CHN,1984,Gold,26
CHN,1984,Silver,13
CHN,1988,Bronze,31
CHN,1988,Gold,6
CHN,1988,Silver,16
CHN,1992,Bronze,19
CHN,1992,Gold,18
CHN,1992,Silver,46
CHN,1996,Bronze,17
CHN,1996,Gold,19
CHN,1996,Silver,74
CHN,2000,Bronze,17
CHN,2000,Gold,39
CHN,2000,Silver,23
CHN,2004,Bronze,15
CHN,2004,Gold,52
CHN,2004,Silver,27
CHN,2008,Bronze,57
CHN,2008,Gold,74
CHN,2008,Silver,53
CHN,2012,Bronze,28
CHN,2012,Gold,56
CHN,2012,Silver,44
CIV,1984,Silver,1
CMR,1968,Silver,1
CMR,1984,Bronze,1
CMR,2000,Gold,18
CMR,2004,Gold,1
CMR,2008,Gold,1
CMR,2012,Bronze,1
COL,1972,Bronze,2
COL,1972,Silver,1
COL,1984,Silver,1
COL,1988,Bronze,1
COL,1992,Bronze,1
COL,2000,Gold,1
COL,2004,Bronze,2
COL,2008,Bronze,1
COL,2008,Silver,1
COL,2012,Bronze,4
COL,2012,Gold,1
COL,2012,Silver,3
CRC,1988,Silver,1
CRC,1996,Gold,1
CRC,2000,Bronze,2
CRO,1992,Bronze,3
CRO,1992,Silver,12
CRO,1996,Gold,16
CRO,1996,Silver,13
CRO,2000,Bronze,9
CRO,2000,Gold,1
CRO,2004,Bronze,3
CRO,2004,Gold,14
CRO,2004,Silver,3
CRO,2008,Bronze,3
CRO,2008,Silver,2
CRO,2012,Bronze,16
CRO,2012,Gold,15
CRO,2012,Silver,4
CUB,1900,Gold,1
CUB,1900,Silver,1
CUB,1904,Bronze,3
CUB,1904,Gold,4
CUB,1904,Silver,2
CUB,1948,Silver,2
CUB,1964,Silver,1
CUB,1968,Silver,10
CUB,1972,Bronze,18
CUB,1972,Gold,3
CUB,1972,Silver,1
CUB,1976,Bronze,14
CUB,1976,Gold,6
CUB,1976,Silver,4
CUB,1980,Bronze,5
CUB,1980,Gold,8
CUB,1980,Silver,7
CUB,1992,Bronze,14
CUB,1992,Gold,44
CUB,1992,Silver,13
CUB,1996,Bronze,10
CUB,1996,Gold,39
CUB,1996,Silver,8
CUB,2000,Bronze,12
CUB,2000,Gold,22
CUB,2000,Silver,35
CUB,2004,Bronze,22
CUB,2004,Gold,31
CUB,2004,Silver,8
CUB,2008,Bronze,11
CUB,2008,Gold,2
CUB,2008,Silver,34
CUB,2012,Bronze,7
CUB,2012,Gold,5
CUB,2012,Silver,3
CYP,2012,Silver,1
CZE,1996,Bronze,4
CZE,1996,Gold,4
CZE,1996,Silver,5
CZE,2000,Bronze,4
CZE,2000,Gold,2
CZE,2000,Silver,3
CZE,2004,Bronze,5
CZE,2004,Gold,1
CZE,2004,Silver,6
CZE,2008,Gold,3
CZE,2008,Silver,4
CZE,2012,Bronze,7
CZE,2012,Gold,4
CZE,2012,Silver,4
DEN,1896,Bronze,3
DEN,1896,Gold,1
DEN,1896,Silver,2
DEN,1900,Bronze,2
DEN,1900,Gold,1
DEN,1900,Silver,3
DEN,1908,Bronze,3
DEN,1908,Silver,12
DEN,1912,Bronze,34
DEN,1912,Gold,5
DEN,1912,Silver,45
DEN,1920,Bronze,1
DEN,1920,Gold,30
DEN,1920,Silver,44
DEN,1924,Bronze,2
DEN,1924,Gold,2
DEN,1924,Silver,8
DEN,1928,Bronze,3
DEN,1928,Gold,5
DEN,1928,Silver,5
DEN,1932,Bronze,4
DEN,1932,Silver,5
DEN,1936,Bronze,3
DEN,1936,Silver,3
DEN,1948,Bronze,27
DEN,1948,Gold,7
DEN,1948,Silver,15
DEN,1952,Bronze,5
DEN,1952,Gold,3
DEN,1952,Silver,1
DEN,1956,Bronze,1
DEN,1956,Gold,1
DEN,1956,Silver,5
DEN,1960,Bronze,4
DEN,1960,Gold,2
DEN,1960,Silver,17
DEN,1964,Bronze,4
DEN,1964,Gold,7
DEN,1964,Silver,1
DEN,1968,Bronze,6
DEN,1968,Gold,4
DEN,1968,Silver,6
DEN,1972,Gold,1
DEN,1976,Bronze,5
DEN,1976,Gold,3
DEN,1980,Bronze,2
DEN,1980,Gold,4
DEN,1980,Silver,2
DEN,1984,Bronze,10
DEN,1984,Silver,5
DEN,1988,Bronze,3
DEN,1988,Gold,3
DEN,1988,Silver,1
DEN,1992,Bronze,9
DEN,1992,Gold,3
DEN,1992,Silver,2
DEN,1996,Bronze,1
DEN,1996,Gold,22
DEN,1996,Silver,1
DEN,2000,Bronze,4
DEN,2000,Gold,18
DEN,2000,Silver,3
DEN,2004,Bronze,10
DEN,2004,Gold,19
DEN,2008,Bronze,6
DEN,2008,Gold,6
DEN,2008,Silver,6
DEN,2012,Bronze,8
DEN,2012,Gold,3
DEN,2012,Silver,5
DJI,1988,Bronze,1
DOM,1984,Bronze,1
DOM,2004,Gold,1
DOM,2008,Gold,1
DOM,2008,Silver,1
DOM,2012,Gold,1
DOM,2012,Silver,1
ECU,1996,Gold,1
ECU,2008,Silver,1
EGY,1928,Bronze,1
EGY,1928,Gold,2
EGY,1928,Silver,1
EGY,1936,Bronze,2
EGY,1936,Gold,2
EGY,1936,Silver,1
EGY,1948,Bronze,1
EGY,1948,Gold,2
EGY,1948,Silver,2
EGY,1952,Bronze,1
EGY,1960,Bronze,1
EGY,1960,Silver,1
EGY,1984,Silver,1
EGY,2004,Bronze,3
EGY,2004,Gold,1
EGY,2004,Silver,1
EGY,2008,Bronze,1
EGY,2012,Bronze,1
EGY,2012,Silver,3
ERI,2004,Bronze,1
ESP,1900,Gold,2
ESP,1920,Silver,24
ESP,1928,Gold,3
ESP,1932,Bronze,1
ESP,1948,Silver,3
ESP,1952,Silver,1
ESP,1960,Bronze,14
ESP,1972,Bronze,1
ESP,1976,Silver,6
ESP,1980,Bronze,3
ESP,1980,Gold,2
ESP,1980,Silver,19
ESP,1984,Bronze,3
ESP,1984,Gold,2
ESP,1984,Silver,14
ESP,1988,Bronze,2
ESP,1988,Gold,1
ESP,1988,Silver,2
ESP,1992,Bronze,2
ESP,1992,Gold,44
ESP,1992,Silver,20
ESP,1996,Bronze,22
ESP,1996,Gold,24
ESP,1996,Silver,21
ESP,2000,Bronze,20
ESP,2000,Gold,3
ESP,2000,Silver,20
ESP,2004,Bronze,8
ESP,2004,Gold,4
ESP,2004,Silver,15
ESP,2008,Bronze,16
ESP,2008,Gold,7
ESP,2008,Silver,48
ESP,2012,Bronze,25
ESP,2012,Gold,6
ESP,2012,Silver,34
EST,1920,Gold,1
EST,1920,Silver,2
EST,1924,Bronze,4
EST,1924,Gold,1
EST,1924,Silver,1
EST,1928,Bronze,6
EST,1928,Gold,2
EST,1928,Silver,1
EST,1936,Bronze,3
EST,1936,Gold,2
EST,1936,Silver,2
EST,1992,Bronze,2
EST,1992,Gold,1
EST,2000,Bronze,2
EST,2000,Gold,1
EST,2004,Bronze,2
EST,2004,Silver,1
EST,2008,Gold,1
EST,2008,Silver,2
EST,2012,Bronze,1
EST,2012,Silver,1
ETH,1960,Gold,1
ETH,1964,Gold,1
ETH,1968,Gold,1
ETH,1968,Silver,1
ETH,1972,Bronze,2
ETH,1980,Bronze,2
ETH,1980,Gold,2
ETH,1992,Bronze,2
ETH,1992,Gold,1
ETH,1996,Bronze,1
ETH,1996,Gold,2
ETH,2000,Bronze,3
ETH,2000,Gold,4
ETH,2000,Silver,1
ETH,2004,Bronze,2
ETH,2004,Gold,2
ETH,2004,Silver,3
ETH,2008,Bronze,2
ETH,2008,Gold,4
ETH,2008,Silver,1
ETH,2012,Bronze,2
ETH,2012,Gold,3
ETH,2012,Silver,2
EUA,1956,Bronze,22
EUA,1956,Gold,12
EUA,1956,Silver,23
EUA,1960,Bronze,21
EUA,1960,Gold,34
EUA,1960,Silver,33
EUA,1964,Bronze,49
EUA,1964,Gold,22
EUA,1964,Silver,44
EUN,1992,Bronze,66
EUN,1992,Gold,92
EUN,1992,Silver,65
FIN,1908,Bronze,27
FIN,1908,Gold,1
FIN,1908,Silver,1
FIN,1912,Bronze,22
FIN,1912,Gold,9
FIN,1912,Silver,36
FIN,1920,Bronze,17
FIN,1920,Gold,18
FIN,1920,Silver,14
FIN,1924,Bronze,15
FIN,1924,Gold,24
FIN,1924,Silver,13
FIN,1928,Bronze,9
FIN,1928,Gold,8
FIN,1928,Silver,8
FIN,1932,Bronze,16
FIN,1932,Gold,5
FIN,1932,Silver,8
FIN,1936,Bronze,13
FIN,1936,Gold,7
FIN,1936,Silver,6
FIN,1948,Bronze,7
FIN,1948,Gold,15
FIN,1948,Silver,7
FIN,1952,Bronze,29
FIN,1952,Gold,8
FIN,1952,Silver,3
FIN,1956,Bronze,22
FIN,1956,Gold,3
FIN,1956,Silver,1
FIN,1960,Bronze,4
FIN,1960,Gold,1
FIN,1960,Silver,1
FIN,1964,Bronze,2
FIN,1964,Gold,3
FIN,1968,Bronze,1
FIN,1968,Gold,1
FIN,1968,Silver,2
FIN,1972,Bronze,6
FIN,1972,Gold,3
FIN,1972,Silver,1
FIN,1976,Gold,4
FIN,1976,Silver,2
FIN,1980,Bronze,5
FIN,1980,Gold,3
FIN,1980,Silver,1
FIN,1984,Bronze,6
FIN,1984,Gold,4
FIN,1984,Silver,2
FIN,1988,Bronze,2
FIN,1988,Gold,1
FIN,1988,Silver,1
FIN,1992,Bronze,2
FIN,1992,Gold,1
FIN,1992,Silver,4
FIN,1996,Bronze,1
FIN,1996,Gold,1
FIN,1996,Silver,2
FIN,2000,Bronze,1
FIN,2000,Gold,3
FIN,2000,Silver,1
FIN,2004,Silver,2
FIN,2008,Bronze,2
FIN,2008,Gold,1
FIN,2008,Silver,2
FIN,2012,Bronze,3
FIN,2012,Silver,2
FRA,1896,Bronze,2
FRA,1896,Gold,5
FRA,1896,Silver,4
FRA,1900,Bronze,53
FRA,1900,Gold,46
FRA,1900,Silver,86
FRA,1908,Bronze,21
FRA,1908,Gold,9
FRA,1908,Silver,5
FRA,1912,Bronze,5
FRA,1912,Gold,10
FRA,1912,Silver,10
FRA,1920,Bronze,55
FRA,1920,Gold,13
FRA,1920,Silver,73
FRA,1924,Bronze,20
FRA,1924,Gold,39
FRA,1924,Silver,63
FRA,1928,Bronze,13
FRA,1928,Gold,7
FRA,1928,Silver,16
FRA,1932,Bronze,6
FRA,1932,Gold,23
FRA,1932,Silver,8
FRA,1936,Bronze,18
FRA,1936,Gold,12
FRA,1936,Silver,13
FRA,1948,Bronze,21
FRA,1948,Gold,25
FRA,1948,Silver,22
FRA,1952,Bronze,16
FRA,1952,Gold,14
FRA,1952,Silver,9
FRA,1956,Bronze,13
FRA,1956,Gold,6
FRA,1956,Silver,13
FRA,1960,Bronze,5
FRA,1960,Silver,6
FRA,1964,Bronze,17
FRA,1964,Gold,1
FRA,1964,Silver,13
FRA,1968,Bronze,10
FRA,1968,Gold,12
FRA,1968,Silver,5
FRA,1972,Bronze,15
FRA,1972,Gold,2
FRA,1972,Silver,5
FRA,1976,Bronze,8
FRA,1976,Gold,5
FRA,1976,Silver,7
FRA,1980,Bronze,6
FRA,1980,Gold,18
FRA,1980,Silver,5
FRA,1984,Bronze,31
FRA,1984,Gold,21
FRA,1984,Silver,16
