Country,Medal,Count
AFG,Bronze,2
AHO,Silver,1
ALG,Bronze,8
ALG,Gold,5
ALG,Silver,2
ANZ,Bronze,5
ANZ,Gold,20
ANZ,Silver,4
ARG,Bronze,91
ARG,Gold,69
ARG,Silver,99
ARM,Bronze,8
ARM,Gold,1
ARM,Silver,2
AUS,Bronze,472
AUS,Gold,312
AUS,Silver,405
AUT,Bronze,44
AUT,Gold,21
AUT,Silver,81
AZE,Bronze,15
AZE,Gold,6
AZE,Silver,5
BAH,Bronze,5
BAH,Gold,13
BAH,Silver,9
BAR,Bronze,1
BDI,Gold,1
BEL,Bronze,152
BEL,Gold,91
BEL,Silver,168
BER,Bronze,1
BLR,Bronze,59
BLR,Gold,17
BLR,Silver,37
BOH,Bronze,6
BOH,Silver,1
BOT,Silver,1
BRA,Bronze,185
BRA,Gold,73
BRA,Silver,173
BRN,Bronze,1
BUL,Bronze,137
BUL,Gold,53
BUL,Silver,143
BWI,Bronze,5
CAN,Bronze,262
CAN,Gold,155
CAN,Silver,232
CHI,Bronze,21
CHI,Gold,3
CHI,Silver,9
CHN,Bronze,221
CHN,Gold,290
CHN,Silver,296
CIV,Silver,1
CMR,Bronze,2
CMR,Gold,20
CMR,Silver,1
COL,Bronze,11
COL,Gold,2
COL,Silver,6
CRC,Bronze,2
CRC,Gold,1
CRC,Silver,1
CRO,Bronze,34
CRO,Gold,46
CRO,Silver,34
CUB,Bronze,116
CUB,Gold,165
CUB,Silver,129
CYP,Silver,1
CZE,Bronze,20
CZE,Gold,14
CZE,Silver,22
DEN,Bronze,160
DEN,Gold,150
DEN,Silver,197
DJI,Bronze,1
DOM,Bronze,1
DOM,Gold,3
DOM,Silver,2
ECU,Gold,1
ECU,Silver,1
EGY,Bronze,11
EGY,Gold,7
EGY,Silver,10
ERI,Bronze,1
ESP,Bronze,117
ESP,Gold,98
ESP,Silver,227
EST,Bronze,20
EST,Gold,9
EST,Silver,10
ETH,Bronze,16
ETH,Gold,21
ETH,Silver,8
EUA,Bronze,92
EUA,Gold,68
EUA,Silver,100
EUN,Bronze,66
EUN,Gold,92
EUN,Silver,65
FIN,Bronze,212
FIN,Gold,124
FIN,Silver,120
FRA,Bronze,497
FRA,Gold,408
FRA,Silver,491
FRG,Bronze,180
FRG,Gold,143
FRG,Silver,167
GAB,Silver,1
GBR,Bronze,553
GBR,Gold,546
GBR,Silver,621
GDR,Bronze,225
GDR,Gold,329
GDR,Silver,271
GEO,Bronze,14
GEO,Gold,6
GEO,Silver,5
GER,Bronze,475
GER,Gold,452
GER,Silver,378
GHA,Bronze,15
GHA,Silver,1
GRE,Bronze,52
GRE,Gold,34
GRE,Silver,62
GRN,Gold,1
GUA,Silver,1
GUY,Bronze,1
HAI,Bronze,7
HAI,Silver,1
HKG,Bronze,1
HKG,Gold,1
HKG,Silver,2
HUN,Bronze,351
HUN,Gold,412
HUN,Silver,316
INA,Bronze,13
INA,Gold,9
INA,Silver,16
IND,Bronze,38
IND,Gold,128
IND,Silver,18
IOP,Bronze,2
IOP,Silver,1
IRI,Bronze,24
IRI,Gold,16
IRI,Silver,21
IRL,Bronze,12
IRL,Gold,9
IRL,Silver,9
IRQ,Bronze,1
ISL,Bronze,2
ISL,Silver,15
ISR,Bronze,5
ISR,Gold,1
ISR,Silver,1
ISV,Silver,1
ITA,Bronze,404
ITA,Gold,476
ITA,Silver,416
JAM,Bronze,47
JAM,Gold,31
JAM,Silver,49
JPN,Bronze,303
JPN,Gold,213
JPN,Silver,272
KAZ,Bronze,20
KAZ,Gold,12
KAZ,Silver,17
KEN,Bronze,30
KEN,Gold,28
KEN,Silver,35
KGZ,Bronze,2
KGZ,Silver,1
KOR,Bronze,167
KOR,Gold,158
KOR,Silver,204
KSA,Bronze,5
KSA,Silver,1
KUW,Bronze,2
LAT,Bronze,6
LAT,Gold,3
LAT,Silver,11
LIB,Bronze,2
LIB,Silver,2
LTU,Bronze,44
LTU,Gold,6
LTU,Silver,5
LUX,Gold,1
LUX,Silver,1
MAR,Bronze,11
MAR,Gold,6
MAR,Silver,5
MAS,Bronze,4
MAS,Silver,4
MDA,Bronze,3
MDA,Silver,3
MEX,Bronze,51
MEX,Gold,32
MEX,Silver,23
MGL,Bronze,13
MGL,Gold,2
MGL,Silver,9
MKD,Bronze,1
MNE,Silver,14
MOZ,Bronze,1
MOZ,Gold,1
MRI,Bronze,1
NAM,Silver,4
NED,Bronze,339
NED,Gold,233
NED,Silver,279
NGR,Bronze,27
NGR,Gold,19
NGR,Silver,38
NIG,Bronze,1
NOR,Bronze,145
NOR,Gold,209
NOR,Silver,200
NZL,Bronze,75
NZL,Gold,85
NZL,Silver,30
PAK,Bronze,34
PAK,Gold,42
PAK,Silver,45
PAN,Bronze,2
PAN,Gold,1
PAR,Silver,17
PER,Gold,1
PER,Silver,14
PHI,Bronze,7
PHI,Silver,2
POL,Bronze,231
POL,Gold,106
POL,Silver,174
POR,Bronze,18
POR,Gold,4
POR,Silver,11
PRK,Bronze,32
PRK,Gold,14
PRK,Silver,12
PUR,Bronze,6
PUR,Silver,2
QAT,Bronze,4
ROU,Bronze,288
ROU,Gold,157
ROU,Silver,195
RSA,Bronze,37
RSA,Gold,30
RSA,Silver,39
RU1,Bronze,9
RU1,Gold,1
RU1,Silver,7
RUS,Bronze,291
RUS,Gold,239
RUS,Silver,238
SCG,Silver,14
SEN,Silver,1
SGP,Bronze,4
SIN,Silver,4
SLO,Bronze,14
SLO,Gold,5
SLO,Silver,7
SRB,Bronze,28
SRB,Gold,1
SRB,Silver,2
SRI,Silver,2
SUD,Silver,1
SUI,Bronze,138
SUI,Gold,75
SUI,Silver,167
SUR,Bronze,1
SUR,Gold,1
SVK,Bronze,12
SVK,Gold,10
SVK,Silver,12
SWE,Bronze,328
SWE,Gold,349
SWE,Silver,367
SYR,Bronze,1
SYR,Gold,1
SYR,Silver,1
TAN,Silver,2
TCH,Bronze,105
TCH,Gold,80
TCH,Silver,144
TGA,Silver,1
THA,Bronze,12
THA,Gold,7
THA,Silver,6
TJK,Bronze,2
TJK,Silver,1
TOG,Bronze,1
TPE,Bronze,14
TPE,Gold,3
TPE,Silver,27
TRI,Bronze,11
TRI,Gold,1
TRI,Silver,8
TTO,Bronze,5
TTO,Gold,1
TTO,Silver,4
TUN,Bronze,4
TUN,Gold,4
TUN,Silver,2
TUR,Bronze,23
TUR,Gold,38
TUR,Silver,25
UAE,Gold,1
UGA,Bronze,2
UGA,Gold,2
UGA,Silver,3
UKR,Bronze,90
UKR,Gold,41
UKR,Silver,42
URS,Bronze,584
URS,Gold,838
URS,Silver,627
URU,Bronze,30
URU,Gold,44
URU,Silver,2
USA,Bronze,1098
USA,Gold,2235
USA,Silver,1252
UZB,Bronze,10
UZB,Gold,5
UZB,Silver,5
VEN,Bronze,8
VEN,Gold,2
VEN,Silver,2
VIE,Silver,2
YUG,Bronze,118
YUG,Gold,143
YUG,Silver,174
ZAM,Bronze,1
ZAM,Silver,1
ZIM,Bronze,1
ZIM,Gold,18
ZIM,Silver,4
ZZX,Bronze,10
ZZX,Gold,23
ZZX,Silver,15
